Lp.,Oddział NFZ,Krótka nazwa Oddziału NFZ,Świadczeniodawca - Nazwa,Świadczeniodawca - Miejscowość,Świadczeniodawca - Adres,Świadczeniodawca - Telefon,Świadczeniodawca - adres mailowy
1,01,Dolnośląski OW NFZ,POWIATOWY ZESPÓŁ SZPITALI,OLEŚNICA,ARMII KRAJOWEJ 1,(071)776 74 27,sekretariat@pzsolesnica.pl
2,01,Dolnośląski OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY WE WROCŁAWIU,WROCŁAW-PSIE POLE,HENRYKA MICHAŁA KAMIEŃSKIEGO 73A,(071)327 01 01,sekretariat@wssk.wroc.pl
3,01,Dolnośląski OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY IM.J.GROMKOWSKIEGO,WROCŁAW,KOSZAROWA 5,+48 71 395 74 26,sekretariat@szpital.wroc.pl
4,01,Dolnośląski OW NFZ,DOLNOŚLĄSKI SZPITAL SPECJALISTYCZNY IM. T. MARCINIAKA - CENTRUM MEDYCYNY RATUNKOWEJ,WROCŁAW,GEN. AUGUSTA EMILA FIELDORFA 2,(071)306 44 20,szpital_marciniaka@pro.onet.pl
5,01,Dolnośląski OW NFZ,SZPITAL SPECJALISTYCZNY IM A. FALKIEWICZA WE WROCŁAWIU,WROCŁAW,WARSZAWSKA 2,(071)377 41 00,szpital@falkiewicza.internetdsl.pl
6,01,Dolnośląski OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W OŁAWIE,OŁAWA,KRZYSZTOFA KAMILA BACZYŃSKIEGO 1,(071)301 13 00,zozolawa@zozolawa.wroc.pl
7,01,Dolnośląski OW NFZ,SZPITAL IM. ŚW. JADWIGI ŚLĄSKIEJ W TRZEBNICY,TRZEBNICA,PRUSICKA 53/55,(071)312 09 20,sekretariat@szpital-trzebnica.pl
8,01,Dolnośląski OW NFZ,UNIWERSYTECKI SZPITAL KLINICZNY IM. JANA MIKULICZA-RADECKIEGO WE WROCŁAWIU,WROCŁAW,BOROWSKA 213,(071)733 16 00,sekretariat@usk.wroc.p
9,01,Dolnośląski OW NFZ,4 WOJSKOWY SZPITAL KLINICZNY Z POLIKLINIKĄ SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ WE WROCŁAWIU,WROCŁAW,RUDOLFA WEIGLA 5,+48 261 210 373,szpital@4wsk.pl
10,01,Dolnośląski OW NFZ,SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI WE WROCŁAWIU,WROCŁAW-ŚRÓDMIEŚCIE,OŁBIŃSKA 32,71 7984691,sekretariat@spzozmswia.wroclaw.pl
11,01,Dolnośląski OW NFZ,DOLNOŚLĄSKIE CENTRUM CHORÓB SERCA MEDINET NZOZ,WROCŁAW,HENRYKA MICHAŁA KAMIEŃSKIEGO 73A,(071)320 94 17,biuro@medinet.pl
12,01,Dolnośląski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ STRZELIŃSKIE CENTRUM MEDYCZNE W UPADŁOŚCI,STRZELIN,WROCŁAWSKA 46,+48 71 326 48 45,sekretariat@szpitalstrzelin.pl
13,01,Dolnośląski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ POWIATOWE CENTRUM MEDYCZNE W WOŁOWIE,WOŁÓW,INWALIDÓW WOJENNYCH 26,(071)380 58 01,sekretariat@pcm-wolow.pl
14,01,Dolnośląski OW NFZ,MILICKIE CENTRUM MEDYCZNE SP. Z O.O.,MILICZ,GRZYBOWA 1,(071)384 05 89,sekretariat@mcm-milicz.pl
15,01,Dolnośląski OW NFZ,SPECJALISTYCZNE CENTRUM MEDYCZNE  IM. ŚW. JANA PAWŁA II SPÓŁKA AKCYJNA,POLANICA-ZDRÓJ,JANA PAWŁA II 2,(074)862 11 11,sekretariat@scm.pl
16,01,Dolnośląski OW NFZ,BYSTRZYCKIE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,BYSTRZYCA KŁODZKA,STEFANA OKRZEI 49,(074)811 04 73,sekretariat@bystrzyckiecentrumzdrowia.pl
17,01,Dolnośląski OW NFZ,"""ZESPÓŁ OPIEKI ZDROWOTNEJ"" W KŁODZKU",KŁODZKO,SZPITALNA 1A,(074)865 12 01,sekretariat@zoz.klodzko.pl
18,01,Dolnośląski OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W ŚWIDNICY,ŚWIDNICA,LEŚNA 27-29,(074)851 33 33,sekretariat@szpital.swidnica.pl
19,01,Dolnośląski OW NFZ,SPECJALISTYCZNY SZPITAL IM. DRA ALFREDA SOKOŁOWSKIEGO,WAŁBRZYCH,ALFREDA SOKOŁOWSKIEGO 4,(074)648 96 00,szpitalsokolowski@zdrowie.walbrzych.pl
20,01,Dolnośląski OW NFZ,SPECJALISTYCZNY SZPITAL GINEKOLOGICZNO-POŁOŻNICZY IM. E. BIERNACKIEGO W WAŁBRZYCHU,WAŁBRZYCH,IGNACEGO PADEREWSKIEGO 10,(074)887 71 03,sekretariat@szpital.walbrzych.pl;
21,01,Dolnośląski OW NFZ,"""MIKULICZ"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",ŚWIEBODZICE,MARII SKŁODOWSKIEJ-CURIE 3-7,(074)641 91 19,swiebodzice@emc-sa.pl
22,01,Dolnośląski OW NFZ,SZPITAL ŚW.ANTONIEGO W ZĄBKOWICACH ŚLĄSKICH,ZĄBKOWICE ŚLĄSKIE,BOLESŁAWA CHROBREGO 5,(074)641 34 00,zabkowice@emc-sa.pl
23,01,Dolnośląski OW NFZ,SZPITAL ŚW.ANTONIEGO W ZĄBKOWICACH ŚLĄSKICH,WROCŁAW,PILCZYCKA 144-148,71 7117400,wroclaw@emc-sa.pl
24,01,Dolnośląski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ SZPITAL POWIATOWY W DZIERŻONIOWIE SP. Z O.O.,DZIERŻONIÓW,CICHA 1,+48 74 834 41 43,sekretariat@szpital.dzierzoniow.pl
25,01,Dolnośląski OW NFZ,"""GŁOGOWSKI SZPITAL POWIATOWY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",GŁOGÓW,TADEUSZA KOŚCIUSZKI 15,(076)837 33 84,sekretariat@szpital.glogow.pl
26,01,Dolnośląski OW NFZ,WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W LEGNICY,LEGNICA,JAROSŁAWA IWASZKIEWICZA 5,(076)721 13 00,wojewodzki@szpital.legnica.pl
27,01,Dolnośląski OW NFZ,"""MIEDZIOWE CENTRUM ZDROWIA"" S.A. W LUBINIE",LUBIN,MARII SKŁODOWSKIEJ-CURIE 66,+48 76 846 01 10,mcz@mcz.pl
28,01,Dolnośląski OW NFZ,JAWORSKIE CENTRUM MEDYCZNE SP. Z O.O.,JAWOR,SZPITALNA 3,(076)870 30 14,szpitaljawor@nzozjcm.pl 
29,01,Dolnośląski OW NFZ,REGIONALNE CENTRUM ZDROWIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,LUBIN,GEN. JÓZEFA BEMA 5-6,(076)840 17 38,sekretariat-rczlubin@emc-sa.pl
30,01,Dolnośląski OW NFZ,SZPITAL POWIATOWY IM.A.WOLAŃCZYKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,ZŁOTORYJA,HOŻA 11,+48 768 779 574,sekretariat@szpitalzlotoryja.pl
31,01,Dolnośląski OW NFZ,SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W BOGATYNI,BOGATYNIA,LEONA WYCZÓŁKOWSKIEGO 15,(075)773 93 22,spzozbogatynia@interia.pl
32,01,Dolnośląski OW NFZ,ZESPÓŁ OPIEKI ZDROWOTNEJ W BOLESŁAWCU,BOLESŁAWIEC,JELENIOGÓRSKA 4,(075)738 00 00,sekretariat@zozbol.eu
33,01,Dolnośląski OW NFZ,WIELOSPECJALISTYCZNY SZPITAL -SAMODZIELNY PUBLICZNY ZESPÓŁ OPIEKI ZDROWOTNEJ W ZGORZELCU,ZGORZELEC,LUBAŃSKA 11-12,(075)772 29 00,sekretariat@spzoz.zgorzelec.pl
34,01,Dolnośląski OW NFZ,WOJEWÓDZKIE CENTRUM SZPITALNE KOTLINY JELENIOGÓRSKIEJ,JELENIA GÓRA,MICHAŁA KLEOFASA OGIŃSKIEGO 6,+48 75 37801,poczta@spzoz.jgora.pl
35,01,Dolnośląski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ POWIATOWE CENTRUM ZDROWIA W KOWARACH,KOWARY,SANATORYJNA 15,(075)641 57 00,sekretariat@pcz-kowary.p
36,01,Dolnośląski OW NFZ,NIEPUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ ŁUŻYCKIE CENTRUM MEDYCZNE W LUBANIU SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,LUBAŃ,ZAWIDOWSKA 4,(075)721 39 20,sekretariat@lcm-luban.pl
37,01,Dolnośląski OW NFZ,DOLNOŚLĄSKIE CENTRUM REHABILITACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,KAMIENNA GÓRA,JANUSZA KORCZAKA 1,(075)645 96 00,dcr@dcr.org.pl
38,01,Dolnośląski OW NFZ,POWIATOWE CENTRUM ZDROWIA W KAMIENNEJ GÓRZE SP. Z O.O. NZOZ SZPITAL POWIATOWY,KAMIENNA GÓRA,BOHATERÓW GETTA 10,(075)744 92 73,pcz@pcz.org.pl
